"country","smokingRatesByCountry_rateBothPct2022","smokingRatesByCountry_rateMalePct2022","smokingRatesByCountry_rateFemalePct2022","smokingRatesByCountry_rateBothPct2021","smokingRatesByCountry_rateMalePct2021","smokingRatesByCountry_rateFemalePct2021","smokingRatesByCountry_rateBothPct2020","smokingRatesByCountry_rateMalePct2020","smokingRatesByCountry_rateFemalePct2020"
"India",24.3,37.8,10.8,25.2,38.8,11.5,26.1,40,12.2
"China",23.4,45.1,1.6,23.4,45.2,1.6,23.7,45.6,1.7
"United States",24.3,29.9,18.7,24.7,30.4,18.9,24.9,30.6,19.3
"Indonesia",38.2,73.1,3.3,37.9,72.4,3.4,37.8,72.1,3.6
"Pakistan",18.9,30.8,7,19.5,31.7,7.3,20.2,32.8,7.7
"Nigeria",3.3,6.1,0.5,3.4,6.4,0.5,3.6,6.7,0.5
"Brazil",12.2,15.4,8.9,12.5,15.8,9.1,12.9,16.3,9.5
"Bangladesh",32.9,50.5,15.4,33.8,51.3,16.2,34.4,51.7,17.1
"Russia",29.2,41.1,17.4,29.3,41.5,17,29.4,42,16.8
"Ethiopia",5.2,9,1.5,5.3,9.1,1.5,5.3,9.2,1.5
"Mexico",14.9,23,6.9,15.2,23.4,7,15.5,23.8,7.2
"Japan",19.2,28.7,9.6,19.6,29.5,9.8,20.2,30.3,10
"Egypt",24.7,49.1,0.4,24.5,48.6,0.4,24.2,48,0.4
"Philippines",20.4,36.2,4.5,20.9,37.1,4.8,21.6,38.1,5
"DR Congo",12.2,21.6,2.8,12.4,21.9,2.9,12.7,22.4,3
"Vietnam",22.5,43,2,22.9,43.7,2.1,23.2,44.3,2.2
"Iran",13.3,23.6,3,13.6,24.1,3.1,13.9,24.6,3.3
"Turkey",30.5,41.2,19.8,30.7,41.9,19.5,30.7,42.1,19.2
"Germany",21.3,23.2,19.3,21.7,23.8,19.7,22.4,24.5,20.2
"Thailand",19.2,36.9,1.5,19.4,37.2,1.5,19.7,37.8,1.6
"United Kingdom",14.2,16.1,12.4,14.9,16.7,13,15.6,17.4,13.7
"Tanzania",9.3,15.3,3.3,9.7,16.1,3.4,10.2,17,3.5
"France",34.6,35.5,33.7,34.5,35.6,33.4,34.5,35.8,33.3
"South Africa",20.7,34.9,6.5,20.8,34.9,6.7,20.9,34.9,6.9
"Italy",22.4,25.7,19.1,22.6,26,19.1,22.7,26.3,19.2
"Kenya",10.7,18.7,2.7,11,19.2,2.8,11.3,19.7,2.9
"Myanmar",44.4,69.5,19.3,45.1,69.9,20.2,45.9,70.6,21.2
"Colombia",8.2,12,4.4,8.4,12.3,4.5,8.6,12.6,4.6
"South Korea",20,34.1,5.8,20.5,35,5.9,21,36,5.9
"Uganda",7.5,11.9,3.1,7.9,12.5,3.3,8.4,13.2,3.6
"Spain",28.4,29.4,27.5,28.7,29.9,27.5,28.9,30.3,27.5
"Algeria",21.2,41.8,0.7,21.2,41.7,0.7,21.2,41.7,0.7
"Iraq",19.2,36.7,1.7,19.3,36.7,1.8,19.2,36.5,2
"Argentina",23.8,28.5,19.1,24.2,28.9,19.4,24.6,29.5,19.7
"Afghanistan",22.7,38.7,6.8,23.2,39.3,7.1,23.7,40,7.4
"Yemen",21.4,34.5,8.2,21.7,34.9,8.5,21.8,34.9,8.7
"Canada",12,14.3,9.7,12.5,14.8,10.2,13,15.3,10.7
"Poland",23.6,27.1,20.1,24,27.5,20.5,24.5,28.1,20.9
"Morocco",13,25,1,13.3,25.5,1.1,13.5,25.9,1.1
"Ukraine",24.9,38.4,11.5,25.5,39.4,11.6,25.9,40.1,11.7
"Uzbekistan",16.7,32.4,1,17.1,33.2,1.1,17.4,33.8,1.1
"Malaysia",22,43.3,0.7,22.2,43.5,0.8,22.6,44.3,0.9
"Ghana",3.4,6.5,0.3,3.5,6.7,0.3,3.6,6.9,0.4
"Peru",7.1,11.6,2.6,7.6,12.4,2.8,8.2,13.2,3.1
"Saudi Arabia",14.9,27.6,2.1,14.8,27.3,2.2,14.8,27.4,2.2
"Madagascar",26.8,43,10.7,27.5,43.4,11.5,28.2,44,12.3
"Ivory Coast",8.8,16.9,0.8,9.1,17.4,0.8,9.4,18,0.9
"Nepal",28.3,45.7,10.9,29.4,46.8,11.9,30.3,47.8,12.7
"Cameroon",6.5,11.7,1.3,6.7,12.1,1.4,7,12.5,1.4
"Niger",7.7,14,1.4,7.7,14,1.4,7.8,14.1,1.4
"Australia",13.1,15.2,10.9,13.4,15.6,11.2,13.7,15.9,11.5
"North Korea",16.5,33,,17,33.9,,17.4,34.8,
"Mali",8,15.1,0.9,8.3,15.5,1,8.5,16,1
"Burkina Faso",14.3,22.5,6,14.7,23,6.4,15.1,23.4,6.8
"Sri Lanka",19.5,36.8,2.2,19.8,37.3,2.3,20.2,37.9,2.5
"Malawi",9.7,16.4,3,10.1,16.9,3.2,10.5,17.6,3.4
"Zambia",14.6,25.6,3.5,14.8,25.9,3.7,14.8,25.9,3.8
"Kazakhstan",22.2,37.4,7,22.7,38.2,7.2,23.1,38.9,7.3
"Chad",7.4,13.2,1.6,7.5,13.4,1.6,7.7,13.6,1.7
"Chile",28.7,30.8,26.7,29.5,31.7,27.4,30.1,32.3,27.9
"Romania",30,38.6,21.5,30.3,39,21.7,30.7,39.5,21.9
"Senegal",6.5,12.3,0.7,6.7,12.8,0.7,7,13.2,0.7
"Guatemala",11.9,22.2,1.7,12,22.3,1.7,12.1,22.5,1.8
"Netherlands",21.3,23.5,19,21.7,23.9,19.4,22.2,24.4,19.9
"Ecuador",10.2,17.8,2.6,10.3,18,2.7,10.5,18.1,2.8
"Cambodia",17.2,28.7,5.7,18,29.8,6.1,18.6,30.6,6.5
"Zimbabwe",11.3,21.4,1.2,11.6,21.9,1.2,11.9,22.5,1.3
"Benin",6.3,10.7,1.9,6.6,11.2,2,6.9,11.7,2.1
"Rwanda",14.3,21,7.6,14.6,21.4,7.8,14.9,21.8,8
"Burundi",11.2,17.1,5.3,11.6,17.6,5.6,12,18.1,5.9
"Bolivia",12.4,20.6,4.2,12.8,21.1,4.5,13.4,21.9,4.9
"Tunisia",20.5,39.5,1.6,21,40.3,1.6,21.2,40.7,1.7
"Haiti",8.1,13.7,2.5,8.2,13.8,2.6,8.3,13.9,2.7
"Belgium",26.7,29,24.5,27,29.5,24.5,27.2,29.8,24.6
"Jordan",35.6,57.6,13.6,35.3,57.3,13.3,35.1,57,13.2
"Dominican Republic",10.5,14.4,6.6,10.7,14.7,6.8,11,14.9,7.1
